filename	xmlid	au_name	title	au-birth	au-death	au-ids	digitalSource	firsted-yr	title-ids	language	numwords	subgenre	narr-per	au-gender	sizeCat	reprintCount	time-slot
FRA40349_Fleuriot	FRA40349	Fleuriot, Zénaïde		NA	NA	viaf:41872490	NA	1882	NA	fra	41970	NA	NA	U	short	unspecified	T3
FRA01501_France	FRA01501	France, Anatole	Les dieux ont soif: édition ELTeC	1844	1924	viaf:4925052 wikidata:Q42443	Fadedpage	1912	viaf:2498149844946602960007 wikidata:missing	fr	71994	NA	heterodiegetic	M	medium	high	T4
FRA40648_France	FRA40648	France, Anatole		NA	NA	viaf:4925052	NA	1881	NA	fra	55600	NA	NA	U	medium	unspecified	T3
FRA40647_France	FRA40647	France, Anatole		NA	NA	viaf:4925052	NA	1890	NA	fra	50876	NA	NA	U	medium	unspecified	T3
FRA40646_France	FRA40646	France, Anatole		NA	NA	viaf:4925052	NA	1897	NA	fra	48927	NA	NA	U	short	unspecified	T3
FRA01902_Gaboriau	FRA01902	Gaboriau, Émile	Monsieur Lecoq	1832	1873	viaf:100177491 wikidata:Q463513	Ebooks libres et gratuits	1869	viaf:265154387507630970001 wikidata:Q6902552	fr	269763	NA	heterodiegetic	M	long	high	T2
FRA41023_Gaboriau	FRA41023	Gaboriau, Émile	La clique dorée (partie 1)    	NA	NA	viaf:100177491	NA	1871	NA	fra	78545	NA	NA	U	medium	unspecified	T2
FRA41024_Gaboriau	FRA41024	Gaboriau, Émile	La clique dorée (partie 2)    	NA	NA	viaf:100177491	NA	1871	NA	fra	86493	NA	NA	U	medium	unspecified	T2
FRA41025_Gaboriau	FRA41025	Gaboriau, Émile	La dégringolade, tome 1    	NA	NA	viaf:100177491	NA	1872	NA	fra	94752	NA	NA	U	medium	unspecified	T2
FRA41026_Gaboriau	FRA41026	Gaboriau, Émile	La dégringolade, tome 2    	NA	NA	viaf:100177491	NA	1872	NA	fra	103994	NA	NA	U	long	unspecified	T2
