I	FM	I
Freund	NN	Freund
.	$.	.
Venier	NN	Venier
verbeugt	VVFIN	verbeugen
sich	PRF	sich
unmerklich	ADJD	unmerklich
,	$,	,
sieht	VVFIN	sehen
alle	PIS	alle
durch	APPR	durch
ein	ART	eine
Lorgnon	NN	Lorgnon
an	PTKVZ	an
.	$.	.
Le	NE	Le
Duc	NE	Duc
mit	APPR	mit
Erfrischungen	NN	Erfrischung
von	APPR	von
links	ADV	links
.	$.	.
Gamba	NE	Gamba
zu	APPR	zu
Venier	NN	Venier
.	$.	.
Sassi	NE	Sassi
,	$,	,
Marfisa	NE	Marfisa
,	$,	,
Mutter	NN	Mutter
zu	APPR	zu
Le	NE	Le
Duc	NE	Duc
.	$.	.
Baron	NN	Baron
rechts	ADV	rechts
rückwärts	ADV	rückwärts
bei	APPR	bei
Salaino	NE	Salaino
.	$.	.
BARON	NN	Baron
zu	APPR	zu
Salaino	NE	Salaino
.	$.	.
Wie	KOUS	wie
,	$,	,
junger	ADJA	jung
Mensch	NN	Mensch
,	$,	,
du	PPER	du
hast	VAFIN	haben
nichts	PIS	nichts
und	KON	und
du	PPER	du
willst	VMFIN	wollen
dies	PDS	dies
weiter	ADV	weiter
tragen	VVINF	tragen
?	$.	?
Armut	NN	Armut
,	$,	,
dies	PDAT	dies
Gefängnis	NN	Gefängnis
,	$,	,
aus	APPR	aus
dem	PRELS	die
man	PIS	man
nicht	PTKNEG	nicht
entspringt	VVFIN	entspringen
,	$,	,
weils	NN	weils
mit	APPR	mit
uns	PPER	wir
läuft	VVFIN	laufen
.	$.	.
Den	ART	die
Hohn	NN	Hohn
und	KON	und
Speichel	NN	Speichel
einer	ART	eine
solchen	PIAT	solche
Vettel	NN	Vettel
!	$.	!
Du	PPER	du
hast	VAFIN	haben
nichts	PIS	nichts
!	$.	!
dann	ADV	dann
hat	VAFIN	haben
jeder	PIAT	jede
dicke	ADJA	dick
Schuft	NN	Schuft
von	APPR	von
Seifensieder	NN	Seifensieder
ja	ADV	ja
dein	PPOSAT	dein
Haus	NN	Haus
,	$,	,
dein	PPOSAT	dein
Bett	NN	Bett
und	KON	und
küßt	VVFIN	küssen
deine	PPOSAT	dein
Geliebte	NN	Geliebte
,	$,	,
spürst	VVFIN	spüren
dus	ADJD	dus
nicht	PTKNEG	nicht
so	ADV	so
?	$.	?
Vielmehr	ADV	vielmehr
er	PPER	er
hat	VAFIN	haben
ein	ART	eine
Recht	NN	Recht
auf	APPR	auf
ein	ART	eine
Stück	NN	Stück
Fleisch	NN	Fleisch
aus	APPR	aus
deiner	PPOSAT	dein
Brust	NN	Brust
und	KON	und
darf	VMFIN	dürfen
das	ART	die
Messer	NN	Messer
noch	ADV	noch
an	APPR	an
deinem	PPOSAT	dein
Haar	NN	Haar
abputzen	VVINF	abputzen
!	$.	!
spürst	VVFIN	spüren
dus	ADJD	dus
so	ADV	so
!	$.	!
Greift	VVFIN	greifen
ihm	PPER	er
dabei	PAV	dabei
ins	APPRART	in
Haar	NN	Haar
.	$.	.
Wir	PPER	wir
werden	VAFIN	werden
spielen	VVINF	spielen
,	$,	,
wart	VAFIN	sein
,	$,	,
wir	PPER	wir
werden	VAFIN	werden
spielen	VVINF	spielen
,	$,	,
und	KON	und
hier	ADV	hier
ist	VAFIN	sein
für	APPR	für
den	ART	die
Anfang	NN	Anfang
!	$.	!
Gibt	VVFIN	geben
ihm	PPER	er
Geld	NN	Geld
.	$.	.
Nägel	NN	Nagel
kauen	VVINF	kauen
,	$,	,
an	APPR	an
einem	ART	eine
schmutzigen	ADJA	schmutzig
Kanal	NN	Kanal
die	ART	die
Lacke	NN	Lack
von	APPR	von
Stockfisch	NN	Stockfisch
atmen	VVINF	atmen
und	KON	und
auf	APPR	auf
feuchtem	ADJA	feucht
Stroh	NN	Stroh
von	APPR	von
weißen	ADJA	weiß
Knien	NN	Knie|Knien
mit	APPR	mit
goldnem	ADJA	goldnem
Strumpfband	NN	Strumpfband
träumen	VVINF	träumen
,	$,	,
bis	KOUS	bis
das	ART	die
Geheul	NN	Geheul
der	ART	die
Katzen	NN	Katze
auf	APPR	auf
den	ART	die
Dächern	NN	Dach
dem	ART	die
Traum	NN	Traum
ein	ART	eine
Ende	NN	Ende
macht	VVFIN	machen
.	$.	.
Verfluchtes	ADJA	verflucht
Leben	NN	Leben
!	$.	!
SALAINO	NN	SALAINO
mit	APPR	mit
erstickter	ADJA	erstickt
Stimme	NN	Stimme
,	$,	,
den	ART	die
Blick	NN	Blick
zur	APPRART	zu
Seite	NN	Seite
.	$.	.
Ich	PPER	ich
wäre	VAFIN	sein
grad	ADJD	grad
so	ADV	so
gern	ADV	gern
der	ART	die
alte	ADJA	alt
Grabstein	NN	Grabstein
am	APPRART	an
Kirchentor	NN	Kirchentor
,	$,	,
auf	APPR	auf
den	PRELS	die
die	ART	die
Weiber	NN	Weib
treten	VVFIN	treten
,	$,	,
die	ART	die
halbverfaulte	ADJA	halbverfaulte
Alge	NN	Alge
im	APPRART	in
Kanal	NN	Kanal
,	$,	,
der	ART	die
Hund	NN	Hund
von	APPR	von
einem	ART	eine
Blinden	NN	Blinde
!	$.	!
Manchen	PIAT	manche
Tag	NN	Tag
,	$,	,
mein	PPOSAT	mein
ich	PPER	ich
,	$,	,
mich	PPER	ich
schleift	VVFIN	schleifen
ein	ART	eine
Pferd	NN	Pferd
an	APPR	an
seinem	PPOSAT	sein
Schweif	NN	Schweif
,	$,	,
daß	KOUS	dass
ich	PPER	ich
von	APPR	von
unten	ADV	unten
mit	APPR	mit
verdrehten	ADJA	verdreht
Augen	NN	Auge
die	ART	die
ganze	ADJA	ganz
Welt	NN	Welt
ansehen	VVINF	ansehen
muß	VMFIN	müssen
,	$,	,
so	ADV	so
starr	ADJD	starr
und	KON	und
so	ADV	so
verhaßt	ADJD	verhasst
ist	VAFIN	sein
mir	PPER	ich
des	ART	die
Lebens	NN	Leben
Anblick	NN	Anblick
.	$.	.
Ich	PPER	ich
kann	VMFIN	können
den	ART	die
Fetzen	NN	Fetzen
goldgestickten	ADJA	goldgestickten
Stoffs	NN	Stoff
nicht	PTKNEG	nicht
anschaun	NE	anschaun
,	$,	,
den	PRELS	die
ein	ART	eine
Heiliger	NN	Heilige
von	APPR	von
Stein	NE	Stein
um	APPR	um
seinen	PPOSAT	sein
toten	ADJA	tot
Leib	NN	Leib
hat	VAFIN	haben
,	$,	,
wie	KOUS	wie
viel	PIS	viele
minder	ADJD	minder
ertrag	VVIMP	ertragen
ichs	ADJD	ichs
,	$,	,
wenn	KOUS	wenn
ich	PPER	ich
die	ART	die
Lebendigen	NN	Lebendige
seh	NE	seh
,	$,	,
in	APPR	in
lauter	ADJA	laut
Lust	NN	Lust
gewickelt	VVPP	wickeln
wie	KOKOM	wie
ein	ART	eine
Wurm	NN	Wurm
im	APPRART	in
Granatapfel	NN	Granatapfel
.	$.	.
BARON	NN	Baron
.	$.	.
Hast	VAFIN	haben
du	PPER	du
keine	PIAT	keine
Schwester	NN	Schwester
?	$.	?
Zur	APPRART	zu
Kupplerin	NN	Kupplerin
mit	APPR	mit
ihr	PPER	ihr
!	$.	!
Was	PWS	was
,	$,	,
keinen	PIAT	keine
Bruder	NN	Bruder
,	$,	,
an	APPR	an
den	ART	die
Kapellmeister	NN	Kapellmeister
,	$,	,
der	ART	die
Bubenstimmen	NN	Bubenstimmen
für	APPR	für
Engelschöre	NN	Engelschöre
braucht	VVFIN	brauchen
,	$,	,
ihn	PPER	er
zu	PTKZU	zu
verkaufen	VVINF	verkaufen
?	$.	?
Auch	ADV	auch
nicht	PTKNEG	nicht
?	$.	?
So	ADV	so
ging	VVFIN	gehen
ich	PPER	ich
und	KON	und
verhandelte	VVFIN	verhandeln
das	ART	die
Leben	NN	Leben
eines	ART	eine
Menschen	NN	Mensch
,	$,	,
den	PRELS	die
ich	PPER	ich
nie	ADV	nie
gesehn	VVFIN	gesehn
,	$,	,
und	KON	und
liehe	VVFIN	liehe
die	ART	die
Pistole	NN	Pistole
mir	PPER	ich
als	KOKOM	als
einen	ART	eine
Vorschuß	NN	Vorschuss
von	APPR	von
der	ART	die
Summe	NN	Summe
aus	PTKVZ	aus
,	$,	,
die	PRELS	die
ich	PPER	ich
mit	APPR	mit
ihr	PPER	ihr
verdienen	VVINF	verdienen
wollte	VMFIN	wollen
.	$.	.
Was	PWS	was
?	$.	?
Genug	ADV	genug
davon	PAV	davon
.	$.	.
Auf	APPR	auf
später	ADJD	spät
.	$.	.
Geht	VVFIN	gehen
zu	APPR	zu
den	ART	die
anderen	PIS	andere
hinüber	PTKVZ	hinüber
.	$.	.
BARON	NN	Baron
zu	APPR	zu
der	ART	die
Gruppe	NN	Gruppe
.	$.	.
Wir	PPER	wir
spielen	VVFIN	spielen
gleich	ADJD	gleich
.	$.	.
Seid	VAFIN	sein
wie	KOKOM	wie
zu	APPR	zu
Hause	NN	Haus
,	$,	,
bitt	VVFIN	bitt
ich	PPER	ich
.	$.	.
Führt	VVFIN	führen
Marfisa	NE	Marfisa
am	APPRART	an
Arm	NN	Arm
nach	APPR	nach
vorne	ADV	vorne
.	$.	.
Was	PWS	was
kann	VMFIN	können
ich	PPER	ich
tun	VVINF	tun
,	$,	,
Marfisa	NE	Marfisa
,	$,	,
um	KOUI	um
dir	PRF	du
nicht	PTKNEG	nicht
ganz	ADV	ganz
zu	PTKZU	zu
mißfallen	VVINF	missfallen
?	$.	?
MARFISA	NE	MARFISA
.	$.	.
Viel	ADV	viel
,	$,	,
o	VVFIN	o
eine	ART	eine
Menge	NN	Menge
.	$.	.
Baron	NN	Baron
küßt	VVFIN	küssen
sie	PPER	sie
auf	APPR	auf
den	ART	die
Arm	NN	Arm
.	$.	.
MARFISA	NE	MARFISA
.	$.	.
Nicht	PTKNEG	nicht
das	PDS	die
.	$.	.
Wenn	KOUS	wenn
du	PPER	du
mich	PRF	ich
gern	ADV	gern
hast	VAFIN	haben
–	ADJA	–
BARON	NN	Baron
.	$.	.
Nun	ADV	nun
?	$.	?
MARFISA	NE	MARFISA
.	$.	.
So	ADV	so
gehst	VVFIN	gehen
du	PPER	du
und	KON	und
mietest	VVFIN	mietest
Leute	NN	Leute
–	ADJA	–
oh	ITJ	oh
,	$,	,
sie	PPER	sie
tuns	VVFIN	tuns
um	APPR	um
wenig	PIAT	wenige
–	NN	–
wenn	KOUS	wenn
du	PPER	du
mich	PRF	ich
gern	ADV	gern
hast	VAFIN	haben
,	$,	,
so	ADV	so
mißfällt	VVFIN	missfallen
dir	PRF	du
doch	ADV	doch
,	$,	,
wer	PWS	wer
mich	PPER	ich
mißhandelt	VVPP	misshandeln
,	$,	,
unterdrückt	VVPP	unterdrücken
,	$,	,
erniedrigt	VVFIN	erniedrigen
–	ADJA	–
BARON	NN	Baron
.	$.	.
Mißfällt	VVFIN	missfallen
?	$.	?
Ich	PPER	ich
haß	VVIMP	hassen
ihn	PPER	er
wie	KOKOM	wie
den	ART	die
Pfahl	NN	Pfahl
im	APPRART	in
Fleisch	NN	Fleisch
.	$.	.
MARFISA	NE	MARFISA
.	$.	.
Und	KON	und
wenn	KOUS	wenn
du	PPER	du
hassest	VVFIN	hassest
,	$,	,
läßt	VVFIN	lassen
du	PPER	du
doch	ADV	doch
nicht	PTKNEG	nicht
ungestraft	ADJD	ungestraft
?	$.	?
BARON	NN	Baron
.	$.	.
Des	ART	die
Schurken	NN	Schurke
Namen	NN	Name
sag	VVIMP	sagen
,	$,	,
ich	PPER	ich
find	VVFIN	find
ihn	PPER	er
.	$.	.
MARFISA	NE	MARFISA
klatscht	VVFIN	klatschen
in	APPR	in
die	ART	die
Hände	NN	Hand
.	$.	.
Du	PPER	du
tust	VVFIN	tun
es	PPER	es
mir	PPER	ich
?	$.	?
BARON	NN	Baron
.	$.	.
Den	ART	die
Namen	NN	Name
!	$.	!
MARFISA	NE	MARFISA
.	$.	.
Costa	NE	Costa
.	$.	.
BARON	NN	Baron
.	$.	.
Wie	KOUS	wie
?	$.	?
MARFISA	NE	MARFISA
.	$.	.
Vicenzo	NE	Vicenzo
Costa	NE	Costa
,	$,	,
der	ART	die
Geck	NN	Geck
,	$,	,
das	ART	die
ekelhafte	ADJA	ekelhaft
Ungeheuer	NN	Ungeheuer
,	$,	,
der	ART	die
Pächter	NN	Pächter
des	ART	die
Theaters	NN	Theater
,	$,	,
der	PRELS	die
die	ART	die
Brizzi	NN	Brizzi
das	ART	die
pas	NE	pas
de	NE	de
deux	NE	deux
,	$,	,
das	PRELS	die
mir	PRF	ich
versprochene	ADJA	versprochen
,	$,	,
das	ART	die
große	ADJA	groß
,	$,	,
tanzen	VVINF	tanzen
läßt	VVFIN	lassen
.	$.	.
Er	PPER	er
geht	VVFIN	gehen
am	APPRART	an
Abend	NN	Abend
allein	ADV	allein
nach	APPR	nach
Haus	NN	Haus
,	$,	,
ich	PPER	ich
weiß	VVFIN	wissen
.	$.	.
Bei	APPR	bei
San	NE	San
Moisé	NN	Moisé
.	$.	.
Zwei	CARD	zwei
Männer	NN	Mann
tuns	NN	Tun
leicht	ADJD	leicht
.	$.	.
Du	PPER	du
tusts	NE	tusts
!	$.	!
Du	PPER	du
tusts	NE	tusts
!	$.	!
Du	PPER	du
bist	VAFIN	sein
ein	ART	eine
großer	ADJA	groß
Herr	NN	Herr
,	$,	,
und	KON	und
fremd	ADJD	fremd
,	$,	,
hast	VAFIN	haben
Diener	NN	Diener
–	ADJA	–
BARON	NN	Baron
.	$.	.
Und	KON	und
wirds	VVFIN	wirds
dich	PPER	du
freuen	VVINF	freuen
?	$.	?
MARFISA	NE	MARFISA
.	$.	.
Wie	KOUS	wie
nichts	PIS	nichts
auf	APPR	auf
der	ART	die
Welt	NN	Welt
!	$.	!
BARON	NN	Baron
.	$.	.
Und	KON	und
glaubst	VVFIN	glauben
dann	ADV	dann
–	ADJA	–
MARFISA	NN	MARFISA
.	$.	.
Was	PWS	was
?	$.	?
Baron	NN	Baron
will	VMFIN	wollen
sie	PPER	sie
küssen	VVINF	küssen
.	$.	.
MARFISA	NE	MARFISA
.	$.	.
Vielleicht	ADV	vielleicht
!	$.	!
vielleicht	ADV	vielleicht
auch	ADV	auch
nicht	PTKNEG	nicht
!	$.	!
Reißt	VVFIN	reißen
sich	PRF	sich
los	PTKVZ	los
,	$,	,
läuft	VVFIN	laufen
nach	APPR	nach
rückwärts	ADV	rückwärts
.	$.	.
BARON	NN	Baron
will	VMFIN	wollen
ihr	PPER	ihr
nach	ADV	nach
,	$,	,
auf	APPR	auf
einmal	ADV	einmal
steht	VVFIN	stehen
die	ART	die
Mutter	NN	Mutter
vor	APPR	vor
ihm	PPER	er
.	$.	.
Liebe	ADJA	lieb
Frau	NN	Frau
,	$,	,
Ihre	PPOSAT	ihr
Tochter	NN	Tochter
ist	VAFIN	sein
das	ART	die
entzückendste	ADJA	entzückend
kleine	ADJA	klein
Ding	NN	Ding
,	$,	,
das	PRELS	die
ich	PPER	ich
je	ADV	je
berührt	VVPP	berühren
habe	VAFIN	haben
–	NN	–
mit	APPR	mit
der	ART	die
Fingerspitze	NN	Fingerspitze
.	$.	.
Sie	PPER	Sie
ist	VAFIN	sein
ein	ART	eine
so	ADV	so
von	APPR	von
Leben	NN	Leben
starrendes	ADJA	starrendes
wildes	ADJA	wild
funkelndes	ADJA	funkelnd
Wesen	NN	Wesen
wie	KOKOM	wie
ein	ART	eine
kleiner	ADJA	klein
Turmfalke	NN	Turmfalke
.	$.	.
MUTTER	NN	Mutter
.	$.	.
Sie	PPER	Sie
haben	VAFIN	haben
sie	PPER	sie
nur	ADV	nur
von	APPR	von
ihrer	PPOSAT	ihr
unbedeutendsten	ADJA	unbedeutend
Seite	NN	Seite
kennengelernt	VVPP	kennenlernen
.	$.	.
BARON	NN	Baron
.	$.	.
Ganz	ADV	ganz
richtig	ADJD	richtig
,	$,	,
ich	PPER	ich
brenne	VVFIN	brennen
darauf	PAV	darauf
,	$,	,
sie	PPER	sie
besser	ADJD	gut
kennenzulernen	VVIZU	kennenlernen
.	$.	.
Ich	PPER	ich
sehe	VVFIN	sehen
,	$,	,
Sie	PPER	Sie
versteht	VVFIN	verstehen
mich	PRF	ich
,	$,	,
Sie	PPER	Sie
versteht	VVFIN	verstehen
mich	PRF	ich
.	$.	.
MUTTER	NN	Mutter
.	$.	.
Ich	PPER	ich
hoffe	VVFIN	hoffen
,	$,	,
Euer	PPOSAT	euer
Gnaden	NN	Gnade
werden	VAFIN	werden
öfter	ADV	öfter
das	ART	die
Ballet	NE	Ballet
mit	APPR	mit
Ihrem	PPOSAT	ihr
Besuch	NN	Besuch
beehren	VVINF	beehren
.	$.	.
BARON	NN	Baron
.	$.	.
Sie	PPER	Sie
versteht	VVFIN	verstehen
mich	PRF	ich
nicht	PTKNEG	nicht
.	$.	.
Ich	PPER	ich
gedenke	VVFIN	gedenken
mich	PRF	ich
hier	ADV	hier
nur	ADV	nur
wenige	PIAT	wenige
Tage	NN	Tag
aufzuhalten	VVIZU	aufhalten
und	KON	und
möchte	VMFIN	mögen
keine	PIAT	keine
Gelegenheit	NN	Gelegenheit
versäumen	VVINF	versäumen
,	$,	,
Ihre	PPOSAT	ihr
Tochter	NN	Tochter
kennenzulernen	VVIZU	kennenlernen
.	$.	.
Ich	PPER	ich
werde	VAFIN	werden
morgen	ADV	morgen
bei	APPR	bei
ihr	PPER	ihr
vorsprechen	VVINF	vorsprechen
.	$.	.
MUTTER	NN	Mutter
.	$.	.
Oh	ITJ	oh
,	$,	,
das	PDS	die
ist	VAFIN	sein
ganz	ADV	ganz
unmöglich	ADJD	unmöglich
,	$,	,
gnädiger	ADJA	gnädig
Herr	NN	Herr
,	$,	,
unsere	PPOSAT	unser
Appartements	NN	Appartement
sind	VAFIN	sein
absolut	ADJD	absolut
nicht	PTKNEG	nicht
präsentabel	ADJD	präsentabel
.	$.	.
Es	PPER	es
ist	VAFIN	sein
absolut	ADJD	absolut
unmöglich	ADJD	unmöglich
.	$.	.
BARON	NN	Baron
.	$.	.
Was	PWS	was
heißt	VVFIN	heißen
unmöglich	ADJD	unmöglich
?	$.	?
Gibt	VVFIN	geben
ihr	PPOSAT	ihr
Geld	NN	Geld
.	$.	.
Sie	PPER	Sie
wird	VAFIN	werden
trachten	VVINF	trachten
,	$,	,
bis	KOUS	bis
morgen	ADV	morgen
die	ART	die
Appartements	NN	Appartement
präsentabel	ADJD	präsentabel
zu	PTKZU	zu
gestalten	VVINF	gestalten
.	$.	.
MUTTER	NN	Mutter
.	$.	.
Oh	ITJ	oh
,	$,	,
es	PPER	es
ist	VAFIN	sein
unmöglich	ADJD	unmöglich
,	$,	,
meine	PPOSAT	mein
Tochter	NN	Tochter
ist	VAFIN	sein
nicht	PTKNEG	nicht
im	APPRART	in
Besitz	NN	Besitz
eines	ART	eine
konvenablen	ADJA	konvenablen
Negligé	NN	Negligé
,	$,	,
um	KOUI	um
so	ADV	so
distinguierte	ADJA	distinguiert
Gäste	NN	Gast
zu	PTKZU	zu
empfangen	VVINF	empfangen
.	$.	.
BARON	NN	Baron
.	$.	.
Ich	PPER	ich
werde	VAFIN	werden
die	ART	die
Ehre	NN	Ehre
haben	VAFIN	haben
,	$,	,
ihr	PPER	ihr
durch	APPR	durch
meine	PPOSAT	mein
Gondel	NN	Gondel
ein	ART	eine
sehr	ADV	sehr
konvenables	ADJA	konvenables
Negligé	NN	Negligé
zuzuschicken	VVIZU	zuschicken
.	$.	.
MUTTER	NN	Mutter
.	$.	.
Ich	PPER	ich
weiß	VVFIN	wissen
nicht	PTKNEG	nicht
,	$,	,
ob	KOUS	ob
Euer	PPOSAT	euer
Gnaden	NN	Gnade
auswendig	ADV	auswendig
die	ART	die
Maße	NN	Maß
–	ADJA	–
BARON	NN	Baron
.	$.	.
Überlassen	VVFIN	überlassen
Sie	PPER	Sie
das	PDS	die
meinen	PPOSAT	mein
Augen	NN	Auge
,	$,	,
gute	ADJA	gut
Frau	NN	Frau
.	$.	.
Ich	PPER	ich
habe	VAFIN	haben
hier	ADV	hier
drinnen	ADV	drinnen
Maße	NN	Maß
genug	ADV	genug
,	$,	,
zehntausend	CARD	zehntausend
verschiedene	ADJA	verschieden
Frauen	NN	Frau
aus	APPR	aus
zehntausend	CARD	zehntausend
blinden	ADJA	blind
Marmorblöcken	NN	Marmorblöcken
herauszumeißeln	VVFIN	herauszumeißeln
,	$,	,
aber	KON	aber
ich	PPER	ich
habe	VAFIN	haben
nicht	PTKNEG	nicht
die	ART	die
Laune	NN	Laune
,	$,	,
mich	PRF	ich
mit	APPR	mit
totem	ADJA	tot
Material	NN	Material
abzugeben	VVIZU	abgeben
.	$.	.
Redegonda	NE	Redegonda
tritt	VVFIN	treten
auf	PTKVZ	auf
,	$,	,
ihr	PPOSAT	ihr
Bruder	NN	Bruder
,	$,	,
als	KOKOM	als
Lakai	NN	Lakai
,	$,	,
hinter	APPR	hinter
ihr	PPER	ihr
.	$.	.
REDEGONDA	NE	REDEGONDA
.	$.	.
Geh	VVIMP	gehen
vor	APPR	vor
und	KON	und
meld	VVFIN	meld
mich	PRF	ich
an	PTKVZ	an
!	$.	!
SASSI	VVFIN	SASSI
ihr	PPER	ihr
entgegen	PTKVZ	entgegen
,	$,	,
mit	APPR	mit
einer	ART	eine
großen	ADJA	groß
Handbewegung	NN	Handbewegung
.	$.	.
Die	ART	die
Redegonda	NN	Redegonda
!	$.	!
BARON	NN	Baron
ihr	PPOSAT	ihr
entgegen	PTKVZ	entgegen
.	$.	.
So	ADV	so
ruft	VVFIN	rufen
,	$,	,
wer	PWS	wer
am	APPRART	an
Verdeck	NN	Verdeck
zuerst	ADV	zuerst
erwacht	VVPP	erwachen
:	$.	:
die	ART	die
Sonne	NN	Sonne
!	$.	!
und	KON	und
die	ART	die
andern	PIAT	andere
rufens	NN	rufens
nach	PTKVZ	nach
.	$.	.
Ich	PPER	ich
hört	VVFIN	hören
Euch	PPER	ihr
diesen	PDAT	dies
Abend	NN	Abend
,	$,	,
Mademoiselle	NN	Mademoiselle
,	$,	,
und	KON	und
neidete	VVFIN	neidete
den	ART	die
körperlosen	ADJA	körperlos
Tönen	NN	Ton|Tönen
den	ART	die
Weg	NN	Weg
auf	APPR	auf
Euren	PPOSAT	euer
Lippen	NN	Lippe
.	$.	.
Muß	VMFIN	müssen
ich	PPER	ich
nun	ADV	nun
ein	ART	eine
niedrig	ADJD	niedrig
Band	NN	Band
beneiden	VVINF	beneiden
,	$,	,
schlechte	ADJA	schlecht
Spitzen	NN	Spitze
,	$,	,
die	PRELS	die
diesen	PDAT	dies
Hals	NN	Hals
berühren	VVINF	berühren
?	$.	?
Welcher	PWAT	welche
Gott	NN	Gott
war	VAFIN	sein
dies	PDS	dies
,	$,	,
der	PDS	die
starb	VVFIN	sterben
vor	APPR	vor
Sehnsucht	NN	Sehnsucht
nach	APPR	nach
dem	ART	die
Anblick	NN	Anblick
des	ART	die
wundervollsten	ADJA	wundervoll
Nackens	NN	Nacken
?	$.	?
Seinen	PPOSAT	sein
Namen	NN	Name
hab	VAIMP	haben
ich	PPER	ich
vergessen	VVPP	vergessen
,	$,	,
doch	KON	doch
ich	PPER	ich
teile	VVFIN	teilen
,	$,	,
fürcht	VVFIN	fürcht
ich	PPER	ich
,	$,	,
sein	PPOSAT	sein
Schicksal	NN	Schicksal
,	$,	,
wenn	KOUS	wenn
Ihr	PPER	sie
geht	VVFIN	gehen
.	$.	.
REDEGONDA	NN	REDEGONDA
sich	PRF	sich
fächelnd	ADJD	fächelnd
.	$.	.
Sehr	ADV	sehr
schön	ADJD	schön
gesagt	VVPP	sagen
.	$.	.
BARON	NN	Baron
indes	ADV	indes
Le	NE	Le
Duc	NE	Duc
Erfrischungen	NN	Erfrischung
serviert	VVPP	servieren
.	$.	.
Erlaubt	VVFIN	erlauben
Ihr	PPER	sie
?	$.	?
Redegonda	NE	Redegonda
trinkt	VVFIN	trinken
.	$.	.
BARON	NN	Baron
.	$.	.
Dieses	PDAT	dies
Glas	NN	Glas
ist	VAFIN	sein
nun	ADV	nun
so	ADV	so
wenig	ADV	wenig
mehr	ADV	mehr
feil	ADJD	feil
,	$,	,
da	KOUS	da
es	PPER	es
an	APPR	an
Euren	PPOSAT	euer
Lippen	NN	Lippe
lag	VVFIN	liegen
,	$,	,
als	KOUS	als
eine	PIS	eine
von	APPR	von
den	ART	die
Kammern	NN	Kammer
meines	PPOSAT	mein
Herzens	NN	Herz
!	$.	!
REDEGONDA	NE	REDEGONDA
.	$.	.
O	NN	O
solche	PIAT	solche
Gläser	NN	Glas
haben	VAFIN	haben
wir	PPER	wir
noch	ADV	noch
viele	PIS	viele
zu	APPR	zu
Haus	NN	Haus
!	$.	!
Nicht	PTKNEG	nicht
wahr	ADJD	wahr
,	$,	,
Achilles	NE	Achilles
?	$.	?
Wenn	KOUS	wenn
Ihr	PPER	sie
wollt	VMFIN	wollen
,	$,	,
könnt	VMFIN	können
Ihr	PPER	sie
sie	PPER	sie
alle	PIS	alle
kaufen	VVINF	kaufen
.	$.	.
Lacht	VVFIN	lachen
.	$.	.
BARON	NN	Baron
.	$.	.
Ihr	PPER	sie
spielt	VVFIN	spielen
?	$.	?
REDEGONDA	NE	REDEGONDA
.	$.	.
Tut	VVFIN	tun
Ihrs	PPOSS	ihr
für	APPR	für
mich	PRF	ich
?	$.	?
BARON	NN	Baron
.	$.	.
Ich	PPER	ich
bin	VAFIN	sein
zu	PTKA	zu
glücklich	ADJD	glücklich
,	$,	,
laßt	VVFIN	lassen
Ihr	PPER	sie
mich	PRF	ich
nur	ADV	nur
den	ART	die
letzten	ADJA	letzt
Ruderer	NN	Ruderer
sein	PPOSAT	sein
an	APPR	an
Eures	PPOSAT	euer
Glückes	NN	Glückes
Schiff	NN	Schiff
.	$.	.
REDEGONDA	NE	REDEGONDA
.	$.	.
Was	PWS	was
heißt	VVFIN	heißen
das	PDS	die
?	$.	?
ACHILLES	ADJD	ACHILLES
leise	ADJD	leise
.	$.	.
Geh	VVIMP	gehen
!	$.	!
Baron	NN	Baron
,	$,	,
mit	APPR	mit
Le	NE	Le
Duc	NE	Duc
,	$,	,
ist	VAFIN	sein
beschäftigt	VVPP	beschäftigen
,	$,	,
Sassi	NE	Sassi
,	$,	,
Marfisa	NE	Marfisa
,	$,	,
die	ART	die
Mutter	NN	Mutter
,	$,	,
den	ART	die
Abbate	NN	Abbate
an	APPR	an
den	ART	die
Spieltisch	NN	Spieltisch
links	ADV	links
rückwärts	ADV	rückwärts
zu	PTKZU	zu
bringen	VVINF	bringen
.	$.	.
REDEGONDA	NN	REDEGONDA
vorne	ADV	vorne
zu	APPR	zu
Venier	NN	Venier
.	$.	.
Ah	ITJ	ah
,	$,	,
Herr	NN	Herr
Venier	NN	Venier
!	$.	!
Venier	NN	Venier
grüßt	VVFIN	grüßen
,	$,	,
legt	VVFIN	legen
die	ART	die
Hand	NN	Hand
auf	APPR	auf
den	ART	die
Mund	NN	Mund
.	$.	.
ACHILLES	NE	Achilles
zu	APPR	zu
Redegonda	NN	Redegonda
.	$.	.
Er	PPER	er
winkt	VVFIN	winken
Dir	PPER	du
,	$,	,
du	PPER	du
sollst	VMFIN	sollen
schweigen	VVINF	schweigen
.	$.	.
REDEGONDA	NE	REDEGONDA
.	$.	.
Wovon	PWAV	wovon
?	$.	?
ACHILLES	NE	Achilles
.	$.	.
Nun	ADV	nun
,	$,	,
wahrscheinlich	ADJD	wahrscheinlich
von	APPR	von
seiner	PPOSAT	sein
Frau	NN	Frau
.	$.	.
REDEGONDA	NE	REDEGONDA
.	$.	.
Ach	ITJ	ach
so	ADV	so
!	$.	!
Warum	PWAV	warum
?	$.	?
ACHILLES	NE	Achilles
immer	ADV	immer
halblaut	ADJD	halblaut
.	$.	.
Was	PWS	was
